设备序列号,设备型号,设备名称,设备版本,所属于客户,城市,服务开始日期,巡检周期/天,服务结束日期,维保月数,服务等级,维保服务,SO单号,设备详细地址,设备联系人,设备联系人电话,备注
451708000037,FAS2554,,,北京国际度假区有限公司,北京,2023-01-01 00:00:00,90,2023-08-31 00:00:00,8,"4HR,NRD",合同已过保,4510511197,,,,
451708000038,FAS2554,,,北京国际度假区有限公司,北京,2023-01-01 00:00:00,90,2023-08-31 00:00:00,8,"4HR,NRD",合同已过保,4510511197,,,,
451708000060,AFF8040,,,北京国际度假区有限公司,北京,2023-01-01 00:00:00,90,2023-08-31 00:00:00,8,"4HR,NRD",合同已过保,4510511197,,,,
451708000061,AFF8040,,,北京国际度假区有限公司,北京,2023-01-01 00:00:00,90,2023-08-31 00:00:00,8,"4HR,NRD",合同已过保,4510511197,,,,
451708000062,AFF8040,,,北京国际度假区有限公司,北京,2023-01-01 00:00:00,90,2023-08-31 00:00:00,8,"4HR,NRD",合同已过保,4510511197,,,,
451708000063,AFF8040,,,北京国际度假区有限公司,北京,2023-01-01 00:00:00,90,2023-08-31 00:00:00,8,"4HR,NRD",合同已过保,4510511197,,,,
451743000081,FAS8040,,,国家开发银行,北京,2023-01-01 00:00:00,90,2023-12-31 00:00:00,12,"4HR,NRD",合同已过保,4510527802,,,,
701515000058,FAS8040,,,国家开发银行,北京,2023-01-01 00:00:00,90,2023-12-31 00:00:00,12,"4HR,NRD",合同已过保,4510527802,,,,
451743000078,FAS8040,,,国家开发银行,北京,2023-01-01 00:00:00,90,2023-12-31 00:00:00,12,"4HR,NRD",合同已过保,4510527802,,,,
451743000079,FAS8040,,,国家开发银行,北京,2023-01-01 00:00:00,90,2023-12-31 00:00:00,12,"4HR,NRD",合同已过保,4510527802,,,,
9496580579,FLASHCACHE,,,国家开发银行,北京,2023-01-01 00:00:00,90,2023-12-31 00:00:00,12,"4HR,NRD",合同已过保,4510527802,,,,
9496580763,FLASHCACHE,,,国家开发银行,北京,2023-01-01 00:00:00,90,2023-12-31 00:00:00,12,"4HR,NRD",合同已过保,4510527802,,,,
9496580816,FLASHCACHE,,,国家开发银行,北京,2023-01-01 00:00:00,90,2023-12-31 00:00:00,12,"4HR,NRD",合同已过保,4510527802,,,,
9496580983,FLASHCACHE,,,国家开发银行,北京,2023-01-01 00:00:00,90,2023-12-31 00:00:00,12,"4HR,NRD",合同已过保,4510527802,,,,
451743000081,FAS8040,,,国家开发银行,北京,2024-01-08 00:00:00,90,2025-01-07 00:00:00,12,"4HR,NRD",合同生效中,E002252174,,,,
701515000058,FAS8040,,,国家开发银行,北京,2024-01-08 00:00:00,90,2025-01-07 00:00:00,12,"4HR,NRD",合同生效中,E002252174,,,,
451743000078,FAS8040,,,国家开发银行,北京,2024-01-01 00:00:00,90,2024-12-31 00:00:00,12,"4HR,NRD",合同生效中,E002252174,,,,
451743000079,FAS8040,,,国家开发银行,北京,2024-01-01 00:00:00,90,2024-12-31 00:00:00,12,"4HR,NRD",合同生效中,E002252174,,,,
9496580579,FLASHCACHE,,,国家开发银行,北京,2024-01-08 00:00:00,90,2025-01-07 00:00:00,12,"4HR,NRD",合同生效中,E002252174,,,,
9496580763,FLASHCACHE,,,国家开发银行,北京,2024-01-08 00:00:00,90,2025-01-07 00:00:00,12,"4HR,NRD",合同生效中,E002252174,,,,
9496580816,FLASHCACHE,,,国家开发银行,北京,2024-01-08 00:00:00,90,2025-01-07 00:00:00,12,"4HR,NRD",合同生效中,E002252174,,,,
9496580983,FLASHCACHE,,,国家开发银行,北京,2024-01-08 00:00:00,90,2025-01-07 00:00:00,12,"4HR,NRD",合同生效中,E002252174,,,,
451626000262,FAS8040,,,招商银行股份有限公司,（四川）成都,2022-09-01 00:00:00,90,2023-08-31 00:00:00,12,"4HR,NRD(控制器无维保)",合同已过保,4510418426,,,,
451626000263,FAS8040,,,招商银行股份有限公司,（四川）成都,2022-09-01 00:00:00,90,2023-08-31 00:00:00,12,"4HR,NRD(控制器无维保)",合同已过保,4510418426,,,,
451626000264,FAS8040,,,招商银行股份有限公司,（四川）成都,2022-09-01 00:00:00,90,2023-08-31 00:00:00,12,"4HR,NRD",合同已过保,4510418426,,,,
451626000265,FAS8040,,,招商银行股份有限公司,（四川）成都,2022-09-01 00:00:00,90,2023-08-31 00:00:00,12,"4HR,NRD",合同已过保,4510418426,,,,
